chain,score_bits,deployment_prefix,exposure_s,target_acceptance,rate_budget_hz,rate_lsb_hz,counter_bits,alpha,count,sample_size,point_estimate,upper_bound,deployment_margin_hz,quantization_margin_hz,counter_max_count,status,warnings,reasons
LHCO acceptance,8,10000,,0.005,,,,0.00037037037037037035,24,10000,0.0024,0.004534519616326681,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,8,10000,,0.01,,,,0.00037037037037037035,64,10000,0.0064,0.009555488676577566,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,8,10000,,0.02,,,,0.00037037037037037035,133,10000,0.0133,0.017616507324229327,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,8,50000,,0.005,,,,0.00037037037037037035,209,50000,0.00418,0.0052448294950515895,,,,NOT_CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",finite-sample upper acceptance exceeds target_acceptance
LHCO acceptance,8,50000,,0.01,,,,0.00037037037037037035,429,50000,0.00858,0.010061401388531793,,,,NOT_CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",finite-sample upper acceptance exceeds target_acceptance
LHCO acceptance,8,50000,,0.02,,,,0.00037037037037037035,807,50000,0.01614,0.018129388289206325,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,8,100000,,0.005,,,,0.00037037037037037035,424,100000,0.00424,0.004978530948707055,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,8,100000,,0.01,,,,0.00037037037037037035,883,100000,0.00883,0.00987273425125185,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,8,100000,,0.02,,,,0.00037037037037037035,1812,100000,0.01812,0.01958677330798163,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,10,10000,,0.005,,,,0.00037037037037037035,24,10000,0.0024,0.004534519616326681,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,10,10000,,0.01,,,,0.00037037037037037035,65,10000,0.0065,0.009676013844878132,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,10,10000,,0.02,,,,0.00037037037037037035,138,10000,0.0138,0.018186746642582328,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,10,50000,,0.005,,,,0.00037037037037037035,224,50000,0.00448,0.005578861314483868,,,,NOT_CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",finite-sample upper acceptance exceeds target_acceptance
LHCO acceptance,10,50000,,0.01,,,,0.00037037037037037035,421,50000,0.00842,0.00988852081195603,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,10,50000,,0.02,,,,0.00037037037037037035,855,50000,0.0171,0.019143966351985408,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,10,100000,,0.005,,,,0.00037037037037037035,450,100000,0.0045,0.005259327088959907,,,,NOT_CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",finite-sample upper acceptance exceeds target_acceptance
LHCO acceptance,10,100000,,0.01,,,,0.00037037037037037035,916,100000,0.00916,0.010221006387223827,,,,NOT_CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",finite-sample upper acceptance exceeds target_acceptance
LHCO acceptance,10,100000,,0.02,,,,0.00037037037037037035,1785,100000,0.01785,0.01930635014088138,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,12,10000,,0.005,,,,0.00037037037037037035,24,10000,0.0024,0.004534519616326681,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,12,10000,,0.01,,,,0.00037037037037037035,65,10000,0.0065,0.009676013844878132,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,12,10000,,0.02,,,,0.00037037037037037035,138,10000,0.0138,0.018186746642582328,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,12,50000,,0.005,,,,0.00037037037037037035,224,50000,0.00448,0.005578861314483868,,,,NOT_CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",finite-sample upper acceptance exceeds target_acceptance
LHCO acceptance,12,50000,,0.01,,,,0.00037037037037037035,425,50000,0.0085,0.009974976636269828,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,12,50000,,0.02,,,,0.00037037037037037035,858,50000,0.01716,0.019207323206355743,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
LHCO acceptance,12,100000,,0.005,,,,0.00037037037037037035,455,100000,0.00455,0.00531325602442278,,,,NOT_CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",finite-sample upper acceptance exceeds target_acceptance
LHCO acceptance,12,100000,,0.01,,,,0.00037037037037037035,927,100000,0.00927,0.010337021685412525,,,,NOT_CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",finite-sample upper acceptance exceeds target_acceptance
LHCO acceptance,12,100000,,0.02,,,,0.00037037037037037035,1816,100000,0.01816,0.019628310475543455,,,,CERTIFIED,"no live-time or input flux supplied: this certificate is an acceptance probability, not a detector Hz measurement",
Explicit Poisson rate,1,,1.0,,10.0,0.01,8,0.0002777777777777778,14,14,14.0,32.09755618975004,-22.102556189750036,0.005,255,NOT_CERTIFIED,fewer than two observed score levels; observed threshold step unavailable,finite-sample upper rate exceeds the declared rate-counter full scale; finite-sample upper rate plus fixed-point margin exceeds budget
Explicit Poisson rate,1,,1.0,,12.0,0.01,8,0.0002777777777777778,8,8,8.0,23.097860414946837,-11.102860414946838,0.005,255,NOT_CERTIFIED,fewer than two observed score levels; observed threshold step unavailable,finite-sample upper rate exceeds the declared rate-counter full scale; finite-sample upper rate plus fixed-point margin exceeds budget
Explicit Poisson rate,1,,1.0,,10.0,0.01,16,0.0002777777777777778,4,4,4.0,16.474665861056103,-6.479665861056103,0.005,65535,NOT_CERTIFIED,fewer than two observed score levels; observed threshold step unavailable,finite-sample upper rate plus fixed-point margin exceeds budget
Explicit Poisson rate,1,,1.0,,12.0,0.01,16,0.0002777777777777778,5,5,5.0,18.207537237816382,-6.212537237816382,0.005,65535,NOT_CERTIFIED,fewer than two observed score levels; observed threshold step unavailable,finite-sample upper rate plus fixed-point margin exceeds budget
Explicit Poisson rate,1,,1.0,,10.0,0.05,8,0.0002777777777777778,9,9,9.0,24.655237430500108,-14.680237430500108,0.025,255,NOT_CERTIFIED,fewer than two observed score levels; observed threshold step unavailable,finite-sample upper rate exceeds the declared rate-counter full scale; finite-sample upper rate plus fixed-point margin exceeds budget
Explicit Poisson rate,1,,1.0,,12.0,0.05,8,0.0002777777777777778,10,10,10.0,26.185469797339962,-14.210469797339963,0.025,255,NOT_CERTIFIED,fewer than two observed score levels; observed threshold step unavailable,finite-sample upper rate exceeds the declared rate-counter full scale; finite-sample upper rate plus fixed-point margin exceeds budget
Explicit Poisson rate,1,,1.0,,10.0,0.05,16,0.0002777777777777778,6,6,6.0,19.881402541854648,-9.906402541854648,0.025,65535,NOT_CERTIFIED,fewer than two observed score levels; observed threshold step unavailable,finite-sample upper rate plus fixed-point margin exceeds budget
Explicit Poisson rate,1,,1.0,,12.0,0.05,16,0.0002777777777777778,7,7,7.0,21.508654710266043,-9.533654710266044,0.025,65535,NOT_CERTIFIED,fewer than two observed score levels; observed threshold step unavailable,finite-sample upper rate plus fixed-point margin exceeds budget
Explicit Poisson rate,1,,1.0,,10.0,0.1,8,0.0002777777777777778,4,4,4.0,16.474665861056103,-6.524665861056103,0.05,255,NOT_CERTIFIED,fewer than two observed score levels; observed threshold step unavailable,finite-sample upper rate plus fixed-point margin exceeds budget
